Date,Price,Open,High,Low,Vol.,Change %
"Mar 07, 2022",123.4,116.6,123.4,113.5,16.56M,5.83%
"Mar 06, 2022",116.6,124.6,125.7,116.4,14.81M,-6.42%
"Mar 05, 2022",124.6,124.2,126.5,122.1,11.28M,0.32%
"Mar 04, 2022",124.2,129.99,131.81,122.01,27.33M,-4.46%
"Mar 03, 2022",129.99,137.6,137.7,126.58,234.19K,-5.46%
"Mar 02, 2022",137.51,143.2,146.01,136.4,270.17K,-3.98%
"Mar 01, 2022",143.2,145.89,150.7,139.9,250.66K,-1.85%
"Feb 28, 2022",145.9,131.6,146.21,128.1,233.94K,10.87%
"Feb 27, 2022",131.6,136.29,144.4,129.49,267.36K,-3.45%
"Feb 26, 2022",136.29,139.5,144.4,134.89,112.84K,-2.30%
"Feb 25, 2022",139.5,125.39,143.01,121.89,230.45K,11.17%
"Feb 24, 2022",125.48,130.64,131.59,112.5,309.16K,-3.95%
"Feb 23, 2022",130.64,134.33,143.06,130.2,108.14K,-2.74%
"Feb 22, 2022",134.33,128.5,136.78,125.99,110.00K,4.52%
"Feb 21, 2022",128.52,137.53,144.61,128,144.91K,-6.25%
"Feb 20, 2022",137.08,146.21,146.3,135.21,65.13K,-6.24%
"Feb 19, 2022",146.21,145.5,148.8,141.28,49.07K,0.42%
"Feb 18, 2022",145.6,153.1,155.4,144.11,143.58K,-4.89%
"Feb 17, 2022",153.1,170.3,173.89,150.59,120.17K,-10.11%
"Feb 16, 2022",170.3,172.4,174.29,163.09,81.42K,-1.20%
"Feb 15, 2022",172.38,161.07,172.8,160.58,72.88K,7.02%
"Feb 14, 2022",161.07,157.93,161.3,152.89,60.98K,2.02%
"Feb 13, 2022",157.87,162.15,165.21,155.82,48.60K,-2.61%
"Feb 12, 2022",162.11,163.43,168.59,160.18,72.76K,-0.77%
"Feb 11, 2022",163.37,175.38,181.02,160.46,100.78K,-6.85%
"Feb 10, 2022",175.38,187.88,188.8,175.08,129.26K,-6.66%
"Feb 09, 2022",187.88,183.73,190.58,176.38,107.50K,2.27%
"Feb 08, 2022",183.71,181.31,192.51,173.88,175.53K,1.32%
"Feb 07, 2022",181.31,173.39,183.91,169.89,133.67K,4.57%
"Feb 06, 2022",173.39,166.38,173.79,165.47,100.23K,4.21%
"Feb 05, 2022",166.38,166.99,173.29,164.28,115.95K,-0.37%
"Feb 04, 2022",166.99,152.97,166.99,151.4,136.47K,9.30%
"Feb 03, 2022",152.79,151.22,153.69,145.62,86.02K,0.95%
"Feb 02, 2022",151.35,163.61,164.4,149.59,103.39K,-7.49%
"Feb 01, 2022",163.61,157.79,168.2,157.3,123.13K,3.69%
"Jan 31, 2022",157.79,149.11,158.55,141.87,98.23K,5.82%
"Jan 30, 2022",149.11,153.7,155.4,146.1,70.32K,-2.98%
"Jan 29, 2022",153.7,148.99,156.92,147.79,78.96K,3.16%
"Jan 28, 2022",148.99,144.52,150.6,139.48,144.24K,3.09%
"Jan 27, 2022",144.52,146.28,151.27,137.41,146.40K,-1.20%
"Jan 26, 2022",146.28,151.83,163.35,142.71,225.15K,-3.71%
"Jan 25, 2022",151.92,152.15,156.02,145.8,164.18K,-0.12%
"Jan 24, 2022",152.1,158.53,158.53,131.49,286.57K,-4.04%
"Jan 23, 2022",158.5,146.91,163.28,145.42,191.59K,7.89%
"Jan 22, 2022",146.91,171.38,175.3,135.23,296.26K,-14.28%
"Jan 21, 2022",171.38,198.78,200.5,163.89,313.28K,-13.80%
"Jan 20, 2022",198.81,210.21,221.21,197.52,111.20K,-5.47%
"Jan 19, 2022",210.3,232.6,236.71,210.2,158.70K,-9.59%
"Jan 18, 2022",232.6,226.69,240.3,222.8,231.76K,2.65%
"Jan 17, 2022",226.6,242.61,244.3,221.5,160.76K,-6.60%
"Jan 16, 2022",242.61,238.6,245.02,230.4,130.25K,1.67%
"Jan 15, 2022",238.61,223.88,243.41,222.39,205.85K,6.57%
"Jan 14, 2022",223.9,209.22,226.83,204.76,173.65K,7.07%
"Jan 13, 2022",209.13,218.21,222.08,207.23,160.70K,-4.16%
"Jan 12, 2022",218.19,213.37,222.33,210.71,114.66K,2.26%
"Jan 11, 2022",213.37,199.91,216.9,196.82,121.72K,6.63%
"Jan 10, 2022",200.09,209.49,213.49,188.01,220.40K,-4.40%
"Jan 09, 2022",209.31,211.7,219.09,208.4,140.91K,-1.13%
"Jan 08, 2022",211.7,211.24,230.6,200.89,275.95K,0.23%
"Jan 07, 2022",211.2,221.3,221.79,200.2,233.87K,-4.57%
"Jan 06, 2022",221.3,230.49,232.81,216.29,237.74K,-4.01%
"Jan 05, 2022",230.55,252.03,259.21,215.02,206.29K,-8.52%
"Jan 04, 2022",252.03,266.55,269.18,249.98,190.79K,-5.43%
"Jan 03, 2022",266.51,265.3,285.61,262.71,278.76K,0.45%
"Jan 02, 2022",265.3,266.52,268.81,253.2,135.93K,-0.46%
"Jan 01, 2022",266.52,254.01,266.52,250.8,124.44K,4.93%
"Dec 31, 2021",254.01,262.92,274.31,249.65,243.96K,-3.38%
"Dec 30, 2021",262.88,236.27,265.69,231.1,227.76K,11.27%
"Dec 29, 2021",236.27,252.3,258.94,235.12,278.84K,-6.36%
