"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","199.70","199.50","208.10","193.80","48.90K","0.10%"
"Dec 30, 2021","199.50","198.70","205.70","193.10","42.75K","0.66%"
"Dec 29, 2021","198.20","209.00","212.70","196.10","57.71K","-4.99%"
"Dec 28, 2021","208.60","236.10","236.10","208.60","103.10K","-11.65%"
"Dec 27, 2021","236.10","235.20","248.80","232.70","62.42K","0.73%"
"Dec 26, 2021","234.40","228.10","236.50","218.60","53.27K","2.94%"
"Dec 25, 2021","227.70","231.60","241.20","224.40","45.02K","-1.68%"
"Dec 24, 2021","231.60","230.10","238.40","222.60","65.66K","0.70%"
"Dec 23, 2021","230.00","207.10","238.30","201.60","109.93K","11.11%"
"Dec 22, 2021","207.00","194.90","210.70","193.60","48.88K","6.32%"
"Dec 21, 2021","194.70","189.10","195.00","186.60","43.25K","3.23%"
"Dec 20, 2021","188.60","194.60","197.50","181.60","45.99K","-3.18%"
"Dec 19, 2021","194.80","204.60","210.60","194.30","48.87K","-4.84%"
"Dec 18, 2021","204.70","212.80","216.00","201.90","107.36K","-3.99%"
"Dec 17, 2021","213.20","187.20","213.70","178.20","80.94K","13.89%"
"Dec 16, 2021","187.20","191.60","198.10","186.50","44.68K","-2.30%"
"Dec 15, 2021","191.60","186.40","197.70","175.00","50.34K","2.79%"
"Dec 14, 2021","186.40","180.80","190.50","177.30","45.44K","3.04%"
"Dec 13, 2021","180.90","198.40","200.60","175.40","70.98K","-8.91%"
"Dec 12, 2021","198.60","196.50","201.70","190.00","32.65K","1.33%"
"Dec 11, 2021","196.00","182.70","196.90","180.60","33.28K","7.34%"
"Dec 10, 2021","182.60","192.90","202.70","182.40","67.25K","-5.19%"
"Dec 09, 2021","192.60","219.80","220.80","192.60","148.83K","-12.33%"
"Dec 08, 2021","219.70","223.60","228.20","212.60","59.41K","-1.66%"
"Dec 07, 2021","223.40","222.90","230.60","219.50","33.23K","0.00%"
"Dec 06, 2021","223.40","211.60","226.60","193.20","59.62K","5.68%"
"Dec 05, 2021","211.40","221.00","225.60","205.30","41.72K","-4.52%"
