"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 07, 2022","1,738.30","1,719.30","1,814.60","1,670.10","2.15K","1.13%"
"Mar 06, 2022","1,718.80","1,839.30","1,849.30","1,717.40","1.39K","-6.56%"
"Mar 05, 2022","1,839.50","1,794.40","1,869.80","1,749.40","1.71K","2.46%"
"Mar 04, 2022","1,795.40","2,038.70","2,048.40","1,777.40","2.26K","-11.92%"
"Mar 03, 2022","2,038.40","1,992.80","2,077.90","1,885.10","3.04K","2.26%"
"Mar 02, 2022","1,993.40","1,968.80","2,033.00","1,914.40","1.98K","1.43%"
"Mar 01, 2022","1,965.20","1,965.50","2,037.50","1,908.60","1.92K","-0.03%"
"Feb 28, 2022","1,965.70","1,810.40","1,967.10","1,762.30","2.81K","8.58%"
"Feb 27, 2022","1,810.30","1,940.60","1,967.60","1,785.60","1.87K","-5.99%"
"Feb 25, 2022","1,925.70","1,894.60","1,951.60","1,878.30","4.68K","1.67%"
"Feb 24, 2022","1,894.00","1,737.70","1,935.60","1,513.00","4.48K","9.03%"
"Feb 23, 2022","1,737.20","1,813.80","1,875.50","1,736.40","0.99K","-4.21%"
"Feb 22, 2022","1,813.60","1,665.40","1,834.10","1,637.80","2.30K","9.02%"
"Feb 21, 2022","1,663.60","1,776.30","1,861.20","1,660.70","1.63K","-6.24%"
"Feb 20, 2022","1,774.40","1,911.70","1,913.30","1,745.90","1.03K","-7.24%"
"Feb 19, 2022","1,912.90","1,894.60","1,931.60","1,843.70","0.60K","0.92%"
"Feb 18, 2022","1,895.50","1,971.10","2,014.30","1,887.30","0.80K","-3.82%"
"Feb 17, 2022","1,970.80","2,127.60","2,149.80","1,945.00","1.03K","-7.33%"
"Feb 16, 2022","2,126.70","2,102.80","2,179.70","2,022.90","1.33K","1.08%"
"Feb 15, 2022","2,103.90","1,937.80","2,103.90","1,927.70","0.99K","8.62%"
"Feb 14, 2022","1,937.00","1,925.70","1,991.60","1,869.80","0.98K","0.59%"
"Feb 13, 2022","1,925.70","1,994.10","2,036.10","1,925.60","0.77K","-3.37%"
"Feb 12, 2022","1,992.80","2,023.50","2,052.30","1,960.00","0.95K","-1.56%"
"Feb 11, 2022","2,024.40","2,103.50","2,130.30","1,968.20","1.52K","-3.74%"
"Feb 10, 2022","2,103.00","2,246.50","2,337.30","2,086.50","2.18K","-6.38%"
"Feb 09, 2022","2,246.40","2,206.00","2,267.60","2,143.60","0.88K","1.86%"
"Feb 08, 2022","2,205.30","2,252.60","2,317.80","2,163.50","2.11K","-2.07%"
"Feb 07, 2022","2,251.90","2,245.20","2,280.10","2,193.40","2.16K","0.28%"
"Feb 06, 2022","2,245.60","2,252.70","2,299.70","2,191.10","1.56K","-0.40%"
"Feb 05, 2022","2,254.60","2,282.80","2,327.50","2,233.30","2.75K","-1.20%"
"Feb 04, 2022","2,281.90","2,295.30","2,356.50","2,217.30","2.97K","-0.43%"
"Feb 03, 2022","2,291.80","2,140.10","2,330.80","2,127.30","2.83K","7.04%"
"Feb 02, 2022","2,141.10","2,195.20","2,310.40","2,094.70","1.79K","-2.45%"
"Feb 01, 2022","2,194.80","2,134.30","2,238.60","2,126.50","1.64K","2.91%"
"Jan 31, 2022","2,132.70","1,997.50","2,145.30","1,940.60","1.69K","6.73%"
"Jan 30, 2022","1,998.30","1,949.30","2,010.00","1,920.50","1.09K","2.52%"
"Jan 29, 2022","1,949.10","1,872.40","1,961.20","1,859.20","1.51K","4.11%"
"Jan 28, 2022","1,872.20","1,770.20","1,878.50","1,730.50","1.53K","5.66%"
"Jan 27, 2022","1,771.90","1,701.40","1,793.50","1,647.10","1.50K","4.18%"
"Jan 26, 2022","1,700.80","1,809.00","1,873.30","1,666.10","3.93K","-6.01%"
"Jan 25, 2022","1,809.60","1,924.40","1,944.30","1,796.20","3.03K","-5.97%"
"Jan 24, 2022","1,924.40","1,833.20","1,960.60","1,652.40","3.36K","4.93%"
"Jan 23, 2022","1,833.90","1,799.60","1,921.90","1,765.20","2.24K","1.97%"
