,Date,Price,Open,High,Low,Vol.,Change %,Vol
0,"Apr 02, 2022",157.40,158.10,162.50,155.60,,-0.88%,160.35K
1,"Apr 01, 2022",158.80,149.30,159.50,141.10,,6.43%,171.70K
2,"Mar 31, 2022",149.20,158.10,164.40,146.10,,-5.51%,198.53K
3,"Mar 30, 2022",157.90,147.30,162.90,139.60,,7.20%,393.18K
4,"Mar 29, 2022",147.30,122.30,149.90,122.30,,20.34%,510.72K
5,"Mar 28, 2022",122.40,126.00,134.20,121.30,,-2.93%,215.00K
6,"Mar 27, 2022",126.10,122.10,126.10,118.00,,3.28%,137.79K
7,"Mar 26, 2022",122.10,116.10,122.10,115.80,,5.17%,56.20K
8,"Mar 25, 2022",116.10,118.80,121.80,113.70,,-2.27%,87.26K
9,"Mar 24, 2022",118.80,116.50,121.80,113.60,,2.15%,123.29K
10,"Mar 23, 2022",116.30,114.20,116.80,112.50,,1.84%,72.63K
11,"Mar 22, 2022",114.20,113.10,118.90,112.70,,0.88%,63.30K
12,"Mar 21, 2022",113.20,115.20,118.30,112.00,,-1.65%,44.68K
13,"Mar 20, 2022",115.10,119.70,120.10,113.40,,-3.76%,50.01K
14,"Mar 19, 2022",119.60,119.80,124.30,118.40,,0.17%,45.24K
15,"Mar 18, 2022",119.40,111.60,120.20,109.40,,6.99%,5.38M
16,"Mar 17, 2022",111.60,110.90,116.90,108.40,,0.81%,6.72M
17,"Mar 16, 2022",110.70,104.30,110.80,102.90,,6.24%,4.72M
18,"Mar 15, 2022",104.20,101.40,105.40,98.70,,2.76%,3.07M
19,"Mar 14, 2022",101.40,98.90,102.30,98.20,,2.53%,2.62M
20,"Mar 13, 2022",98.90,101.40,103.60,98.00,,-2.75%,1.96M
21,"Mar 12, 2022",101.70,101.20,105.30,101.20,,0.49%,2.18M
22,"Mar 11, 2022",101.20,103.20,104.00,100.10,,-2.03%,2.36M
23,"Mar 10, 2022",103.30,110.00,110.60,100.30,,-6.01%,3.79M
24,"Mar 09, 2022",109.90,104.00,112.00,104.00,,5.47%,3.03M
25,"Mar 08, 2022",104.20,101.20,107.50,100.40,,2.76%,3.84M
26,"Mar 07, 2022",101.40,101.10,106.10,97.70,,0.30%,3.54M
27,"Mar 06, 2022",101.10,109.50,110.40,100.90,,-7.84%,3.76M
28,"Mar 05, 2022",109.70,108.70,110.60,105.50,,1.01%,2.17M
29,"Mar 04, 2022",108.60,117.30,117.60,107.20,,-7.50%,4.18M
30,"Mar 03, 2022",117.40,120.60,122.80,115.90,,-2.81%,32.98K
31,"Mar 02, 2022",120.80,125.70,126.90,119.60,,-3.82%,49.18K
32,"Mar 01, 2022",125.60,121.10,128.30,117.80,,3.72%,69.37K
33,"Feb 28, 2022",121.10,107.00,121.10,105.30,,13.18%,59.64K
34,"Feb 27, 2022",107.00,112.90,117.70,105.40,,-4.97%,53.29K
35,"Feb 26, 2022",112.60,112.90,116.10,111.80,,-0.27%,31.44K
36,"Feb 25, 2022",112.90,107.80,114.30,105.80,,4.93%,46.90K
37,"Feb 24, 2022",107.60,109.00,110.20,93.50,,-1.19%,85.82K
38,"Feb 23, 2022",108.90,112.70,117.80,108.80,,-3.20%,33.73K
39,"Feb 22, 2022",112.50,106.00,113.20,102.80,,6.33%,47.66K
40,"Feb 21, 2022",105.80,114.70,119.80,105.20,,-7.68%,56.67K
41,"Feb 20, 2022",114.60,122.40,122.40,112.30,,-6.37%,30.45K
42,"Feb 19, 2022",122.40,121.20,124.70,118.10,,0.99%,16.34K
43,"Feb 18, 2022",121.20,122.70,126.30,118.70,,-1.38%,22.36K
44,"Feb 17, 2022",122.90,135.90,137.70,121.40,,-9.50%,40.16K
45,"Feb 16, 2022",135.80,136.20,137.70,129.40,,-0.15%,36.80K
