"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","5.3268","5.1097","5.7109","5.0087","4.54M","4.17%"
"Dec 30, 2021","5.1137","4.8500","5.2745","4.6619","3.09M","5.78%"
"Dec 29, 2021","4.8342","4.7181","5.1932","4.7102","4.26M","2.36%"
"Dec 28, 2021","4.7229","5.2765","5.2873","4.6516","5.30M","-10.51%"
"Dec 27, 2021","5.2773","5.7339","5.7992","5.2729","2.47M","-7.90%"
"Dec 26, 2021","5.7299","5.8379","6.0614","5.6389","3.75M","-1.91%"
"Dec 25, 2021","5.8416","5.1918","5.9025","5.1284","3.83M","12.80%"
"Dec 24, 2021","5.1786","5.1930","5.6109","5.0360","4.35M","-0.24%"
"Dec 23, 2021","5.1908","5.0486","5.4283","4.9132","5.13M","2.67%"
"Dec 22, 2021","5.0556","4.6225","5.2766","4.6168","5.06M","9.32%"
"Dec 21, 2021","4.6247","4.1197","4.6342","4.0381","3.35M","12.52%"
"Dec 20, 2021","4.1102","4.1648","4.2988","3.7910","3.85M","-1.44%"
"Dec 19, 2021","4.1701","4.5149","4.5966","4.1137","1.86M","-7.90%"
"Dec 18, 2021","4.5277","4.2801","4.6136","4.1021","4.82M","5.72%"
"Dec 17, 2021","4.2828","3.8224","4.4523","3.7074","5.55M","11.95%"
"Dec 16, 2021","3.8258","3.7091","4.0887","3.6988","3.94M","3.23%"
"Dec 15, 2021","3.7060","3.4252","3.8060","3.2330","4.42M","7.91%"
"Dec 14, 2021","3.4345","3.3284","3.4664","3.2296","1.94M","3.22%"
"Dec 13, 2021","3.3272","3.8350","3.8987","3.2573","3.88M","-13.62%"
"Dec 12, 2021","3.8520","3.7462","3.8830","3.5764","2.48M","3.12%"
"Dec 11, 2021","3.7353","3.3430","3.7766","3.2947","2.32M","11.48%"
"Dec 10, 2021","3.3505","3.6618","3.7810","3.3333","2.10M","-8.50%"
"Dec 09, 2021","3.6619","4.1798","4.2636","3.6066","3.13M","-12.11%"
"Dec 08, 2021","4.1663","4.1620","4.2182","3.7875","3.48M","0.39%"
"Dec 07, 2021","4.1503","3.7110","4.1916","3.6684","5.26M","11.64%"
"Dec 06, 2021","3.7176","3.6277","3.8403","3.2124","5.17M","3.16%"
"Dec 05, 2021","3.6037","3.7507","3.9590","3.3401","5.28M","-4.16%"
"Dec 04, 2021","3.7603","4.3648","4.4259","2.7768","12.55M","-14.42%"
"Dec 03, 2021","4.3941","4.7454","4.8198","4.0147","4.10M","-7.41%"
"Dec 02, 2021","4.7458","4.9891","4.9898","4.6468","3.00M","-4.84%"
"Dec 01, 2021","4.9870","5.0217","5.4730","4.8121","5.69M","-1.43%"
"Nov 30, 2021","5.0596","4.6948","5.0596","4.5220","4.14M","8.03%"
"Nov 29, 2021","4.6836","4.8789","5.0349","4.6041","3.76M","-4.05%"
"Nov 28, 2021","4.8814","4.8361","4.8950","4.1946","4.77M","0.74%"
"Nov 27, 2021","4.8456","4.9289","5.3604","4.6713","4.36M","-1.70%"
"Nov 26, 2021","4.9292","5.9338","6.1000","4.7326","12.38M","-16.81%"
"Nov 25, 2021","5.9253","5.8428","6.3933","5.5000","11.44M","1.28%"
"Nov 24, 2021","5.8505","5.0588","6.1560","4.5402","13.36M","15.83%"
"Nov 23, 2021","5.0510","4.2587","5.0882","4.1200","10.91M","18.46%"
"Nov 22, 2021","4.2640","3.8000","4.5293","3.7155","9.30M","11.96%"
"Nov 21, 2021","3.8085","3.9397","3.9416","3.7433","2.59M","-3.30%"
"Nov 20, 2021","3.9384","3.9711","4.1730","3.8394","3.43M","-0.54%"
"Nov 19, 2021","3.9596","4.1211","4.2970","3.8804","5.81M","-4.14%"
"Nov 18, 2021","4.1308","4.0283","4.2410","3.5746","8.54M","2.53%"
"Nov 17, 2021","4.0289","3.7048","4.0563","3.6883","8.50M","8.70%"
