,Date,Price,Open,High,Low,Vol.,Change %,Vol
0,"Apr 02, 2022",2277.60,"2,272.50","2,309.70","2,265.20",,0.22%,3.17K
1,"Apr 01, 2022",2272.50,"2,093.70","2,343.50","2,015.10",,8.52%,3.22K
2,"Mar 31, 2022",2094.10,"2,177.60","2,234.10","2,027.40",,-3.74%,2.32K
3,"Mar 30, 2022",2175.50,"2,126.70","2,293.70","2,063.30",,2.31%,3.10K
4,"Mar 29, 2022",2126.40,"2,037.30","2,221.70","2,034.20",,4.42%,2.57K
5,"Mar 28, 2022",2036.30,"2,058.20","2,193.90","2,028.30",,-1.13%,2.10K
6,"Mar 27, 2022",2059.50,"2,015.40","2,060.00","1,965.40",,2.19%,1.40K
7,"Mar 26, 2022",2015.30,"2,007.50","2,022.70","1,973.90",,0.35%,0.62K
8,"Mar 25, 2022",2008.20,"2,007.40","2,064.30","1,946.70",,0.05%,1.39K
9,"Mar 24, 2022",2007.10,"1,988.50","2,061.30","1,974.70",,0.96%,3.03K
10,"Mar 23, 2022",1988.00,"2,037.80","2,049.50","1,950.70",,-2.43%,2.79K
11,"Mar 22, 2022",2037.60,"1,998.40","2,101.50","1,993.30",,1.96%,1.88K
12,"Mar 21, 2022",1998.40,"1,993.50","2,046.20","1,960.10",,0.25%,2.01K
13,"Mar 20, 2022",1993.40,"2,059.70","2,113.80","1,974.80",,-3.27%,1.87K
14,"Mar 19, 2022",2060.80,"2,034.30","2,098.10","2,032.70",,1.29%,2.38K
15,"Mar 18, 2022",2034.50,"2,061.30","2,097.60","2,031.30",,-1.30%,3.19K
16,"Mar 17, 2022",2061.40,"1,925.50","2,095.10","1,922.60",,7.20%,4.50K
17,"Mar 16, 2022",1923.00,"1,785.20","2,013.60","1,737.80",,7.73%,4.98K
18,"Mar 15, 2022",1785.10,"1,795.90","1,862.50","1,720.10",,-0.58%,1.91K
19,"Mar 14, 2022",1795.50,"1,686.80","1,799.10","1,671.50",,6.47%,1.33K
20,"Mar 13, 2022",1686.40,"1,737.90","1,784.00","1,673.70",,-2.97%,1.05K
21,"Mar 12, 2022",1738.00,"1,747.90","1,795.00","1,737.30",,-0.56%,0.83K
22,"Mar 11, 2022",1747.70,"1,768.50","1,796.30","1,701.80",,-1.22%,1.84K
23,"Mar 10, 2022",1769.20,"1,901.80","1,917.60","1,759.80",,-6.89%,2.25K
24,"Mar 09, 2022",1900.20,"1,748.40","1,923.70","1,741.30",,8.63%,2.27K
25,"Mar 08, 2022",1749.20,"1,738.00","1,794.00","1,716.60",,0.63%,2.35K
26,"Mar 07, 2022",1738.30,"1,719.30","1,814.60","1,670.10",,1.13%,2.15K
27,"Mar 06, 2022",1718.80,"1,839.30","1,849.30","1,717.40",,-6.56%,1.39K
28,"Mar 05, 2022",1839.50,"1,794.40","1,869.80","1,749.40",,2.46%,1.71K
29,"Mar 04, 2022",1795.40,"2,038.70","2,048.40","1,777.40",,-11.92%,2.26K
30,"Mar 03, 2022",2038.40,"1,992.80","2,077.90","1,885.10",,2.26%,3.04K
31,"Mar 02, 2022",1993.40,"1,968.80","2,033.00","1,914.40",,1.43%,1.98K
32,"Mar 01, 2022",1965.20,"1,965.50","2,037.50","1,908.60",,-0.03%,1.92K
33,"Feb 28, 2022",1965.70,"1,810.40","1,967.10","1,762.30",,8.58%,2.81K
34,"Feb 27, 2022",1810.30,"1,940.60","1,967.60","1,785.60",,-5.99%,1.87K
35,"Feb 25, 2022",1925.70,"1,894.60","1,951.60","1,878.30",,1.67%,4.68K
36,"Feb 24, 2022",1894.00,"1,737.70","1,935.60","1,513.00",,9.03%,4.48K
37,"Feb 23, 2022",1737.20,"1,813.80","1,875.50","1,736.40",,-4.21%,0.99K
38,"Feb 22, 2022",1813.60,"1,665.40","1,834.10","1,637.80",,9.02%,2.30K
39,"Feb 21, 2022",1663.60,"1,776.30","1,861.20","1,660.70",,-6.24%,1.63K
40,"Feb 20, 2022",1774.40,"1,911.70","1,913.30","1,745.90",,-7.24%,1.03K
41,"Feb 19, 2022",1912.90,"1,894.60","1,931.60","1,843.70",,0.92%,0.60K
42,"Feb 18, 2022",1895.50,"1,971.10","2,014.30","1,887.30",,-3.82%,0.80K
43,"Feb 17, 2022",1970.80,"2,127.60","2,149.80","1,945.00",,-7.33%,1.03K
44,"Feb 16, 2022",2126.70,"2,102.80","2,179.70","2,022.90",,1.08%,1.33K
45,"Feb 15, 2022",2103.90,"1,937.80","2,103.90","1,927.70",,8.62%,0.99K
46,"Feb 14, 2022",1937.00,"1,925.70","1,991.60","1,869.80",,0.59%,0.98K
47,"Feb 13, 2022",1925.70,"1,994.10","2,036.10","1,925.60",,-3.37%,0.77K
48,"Feb 12, 2022",1992.80,"2,023.50","2,052.30","1,960.00",,-1.56%,0.95K
49,"Feb 11, 2022",2024.40,"2,103.50","2,130.30","1,968.20",,-3.74%,1.52K
50,"Feb 10, 2022",2103.00,"2,246.50","2,337.30","2,086.50",,-6.38%,2.18K
51,"Feb 09, 2022",2246.40,"2,206.00","2,267.60","2,143.60",,1.86%,0.88K
52,"Feb 08, 2022",2205.30,"2,252.60","2,317.80","2,163.50",,-2.07%,2.11K
53,"Feb 07, 2022",2251.90,"2,245.20","2,280.10","2,193.40",,0.28%,2.16K
54,"Feb 06, 2022",2245.60,"2,252.70","2,299.70","2,191.10",,-0.40%,1.56K
55,"Feb 05, 2022",2254.60,"2,282.80","2,327.50","2,233.30",,-1.20%,2.75K
56,"Feb 04, 2022",2281.90,"2,295.30","2,356.50","2,217.30",,-0.43%,2.97K
57,"Feb 03, 2022",2291.80,"2,140.10","2,330.80","2,127.30",,7.04%,2.83K
58,"Feb 02, 2022",2141.10,"2,195.20","2,310.40","2,094.70",,-2.45%,1.79K
59,"Feb 01, 2022",2194.80,"2,134.30","2,238.60","2,126.50",,2.91%,1.64K
60,"Jan 31, 2022",2132.70,"1,997.50","2,145.30","1,940.60",,6.73%,1.69K
61,"Jan 30, 2022",1998.30,"1,949.30","2,010.00","1,920.50",,2.52%,1.09K
62,"Jan 29, 2022",1949.10,"1,872.40","1,961.20","1,859.20",,4.11%,1.51K
63,"Jan 28, 2022",1872.20,"1,770.20","1,878.50","1,730.50",,5.66%,1.53K
64,"Jan 27, 2022",1771.90,"1,701.40","1,793.50","1,647.10",,4.18%,1.50K
65,"Jan 26, 2022",1700.80,"1,809.00","1,873.30","1,666.10",,-6.01%,3.93K
66,"Jan 25, 2022",1809.60,"1,924.40","1,944.30","1,796.20",,-5.97%,3.03K
67,"Jan 24, 2022",1924.40,"1,833.20","1,960.60","1,652.40",,4.93%,3.36K
68,"Jan 23, 2022",1833.90,"1,799.60","1,921.90","1,765.20",,1.97%,2.24K
69,"Jan 22, 2022",1798.50,"1,801.20","2,062.00","1,619.90",,-0.24%,10.15K
70,"Jan 21, 2022",1802.90,"1,904.90","1,918.40","1,701.20",,-5.35%,3.45K
71,"Jan 20, 2022",1904.90,"1,995.40","2,060.90","1,895.70",,-4.50%,0.86K
72,"Jan 19, 2022",1994.70,"2,061.10","2,066.60","1,993.30",,-3.21%,1.09K
73,"Jan 18, 2022",2060.80,"2,094.20","2,122.90","2,030.00",,-1.62%,0.90K
74,"Jan 17, 2022",2094.80,"2,255.90","2,270.70","2,072.40",,-7.15%,0.83K
75,"Jan 16, 2022",2256.00,"2,212.50","2,260.00","2,181.00",,1.99%,0.48K
76,"Jan 15, 2022",2212.00,"2,193.50","2,240.90","2,167.00",,0.84%,0.62K
77,"Jan 14, 2022",2193.50,"2,097.00","2,199.50","2,082.10",,4.60%,1.27K
78,"Jan 13, 2022",2097.00,"2,169.20","2,199.70","2,076.10",,-3.30%,1.39K
79,"Jan 12, 2022",2168.60,"2,077.00","2,181.40","2,037.80",,4.41%,1.24K
80,"Jan 11, 2022",2077.10,"1,985.60","2,086.50","1,973.50",,4.51%,0.92K
81,"Jan 10, 2022",1987.50,"2,122.10","2,146.40","1,937.70",,-6.31%,1.43K
82,"Jan 09, 2022",2121.30,"2,049.90","2,160.90","2,033.80",,3.53%,0.73K
83,"Jan 08, 2022",2049.00,"2,133.00","2,185.80","1,999.30",,-3.73%,1.62K
84,"Jan 07, 2022",2128.40,"2,244.60","2,252.40","2,104.40",,-5.23%,1.97K
85,"Jan 06, 2022",2245.90,"2,237.70","2,349.90","2,115.40",,0.51%,2.68K
86,"Jan 05, 2022",2234.40,"2,446.20","2,522.10","2,176.80",,-8.63%,1.69K
87,"Jan 04, 2022",2445.40,"2,390.40","2,540.80","2,354.80",,2.33%,1.42K
88,"Jan 03, 2022",2389.80,"2,467.60","2,594.20","2,376.00",,-3.21%,1.64K
89,"Jan 02, 2022",2469.10,"2,421.30","2,531.40","2,327.60",,1.94%,1.49K
90,"Jan 01, 2022",2422.10,"2,334.10","2,447.40","2,322.40",,3.77%,1.28K
91,"Dec 31, 2021",2334.10,"2,393.70","2,448.60","2,292.30",,-2.57%,1.42K
92,"Dec 30, 2021",2395.60,"2,359.70","2,460.40","2,297.10",,1.61%,1.32K
93,"Dec 29, 2021",2357.60,"2,492.10","2,571.80","2,336.20",,-5.40%,1.46K
94,"Dec 28, 2021",2492.10,"2,684.50","2,707.60","2,474.20",,-7.17%,1.19K
95,"Dec 27, 2021",2684.50,"2,682.60","2,804.50","2,668.40",,0.08%,1.95K
96,"Dec 26, 2021",2682.30,"2,689.40","2,737.40","2,627.90",,-0.22%,1.86K
97,"Dec 25, 2021",2688.30,"2,568.10","2,731.20","2,552.20",,4.71%,0.88K
98,"Dec 24, 2021",2567.30,"2,677.40","2,687.80","2,542.40",,-4.05%,1.67K
99,"Dec 23, 2021",2675.60,"2,445.60","2,680.30","2,394.80",,9.40%,1.94K
100,"Dec 22, 2021",2445.80,"2,422.80","2,543.10","2,409.60",,0.99%,1.80K
101,"Dec 21, 2021",2421.80,"2,346.60","2,443.90","2,336.90",,3.28%,1.23K
102,"Dec 20, 2021",2344.80,"2,370.60","2,418.40","2,234.00",,-1.13%,1.63K
103,"Dec 19, 2021",2371.60,"2,472.70","2,507.70","2,366.00",,-4.11%,1.05K
104,"Dec 18, 2021",2473.30,"2,370.30","2,498.40","2,327.90",,4.40%,1.67K
105,"Dec 17, 2021",2369.10,"2,327.50","2,386.70","2,212.00",,1.82%,1.28K
106,"Dec 16, 2021",2326.80,"2,378.10","2,436.50","2,311.10",,-2.13%,0.92K
107,"Dec 15, 2021",2377.40,"2,304.30","2,420.90","2,205.70",,3.19%,1.35K
108,"Dec 14, 2021",2304.00,"2,229.30","2,320.20","2,166.00",,3.25%,1.42K
109,"Dec 13, 2021",2231.50,"2,468.00","2,480.30","2,203.80",,-9.59%,1.34K
110,"Dec 12, 2021",2468.10,"2,446.20","2,484.80","2,382.70",,1.00%,0.86K
111,"Dec 11, 2021",2443.70,"2,339.30","2,459.60","2,287.40",,4.59%,1.06K
112,"Dec 10, 2021",2336.40,"2,515.50","2,599.60","2,326.80",,-7.13%,1.75K
113,"Dec 09, 2021",2515.90,"2,745.90","2,756.40","2,499.70",,-8.18%,1.88K
114,"Dec 08, 2021",2740.00,"2,614.00","2,748.90","2,592.30",,4.72%,1.83K
115,"Dec 07, 2021",2616.60,"2,603.80","2,688.40","2,576.20",,0.36%,1.25K
116,"Dec 06, 2021",2607.20,"2,578.90","2,626.60","2,356.50",,1.07%,2.02K
117,"Dec 05, 2021",2579.70,"2,610.30","2,674.40","2,492.90",,-1.22%,1.89K
118,"Dec 04, 2021",2611.60,"2,750.10","2,758.30","2,261.40",,-5.07%,5.05K
119,"Dec 03, 2021",2751.10,"2,973.40","2,986.20","2,691.40",,-7.47%,2.06K
120,"Dec 02, 2021",2973.10,"2,974.70","3,043.40","2,900.30",,-0.14%,1.28K
121,"Dec 01, 2021",2977.20,"3,051.00","3,134.30","2,952.00",,-2.42%,1.35K
122,"Nov 30, 2021",3050.90,"3,085.10","3,224.00","2,966.90",,-1.09%,2.75K
123,"Nov 29, 2021",3084.50,"3,082.70","3,117.60","3,010.20",,0.10%,0.97K
124,"Nov 28, 2021",3081.30,"3,092.70","3,098.90","2,852.00",,-0.38%,1.73K
125,"Nov 27, 2021",3093.00,"3,096.20","3,202.30","3,017.40",,0.05%,1.39K
126,"Nov 26, 2021",3091.40,"3,304.30","3,415.50","2,940.80",,-6.47%,3.15K
127,"Nov 25, 2021",3305.40,"3,096.20","3,446.00","3,072.60",,6.73%,3.73K
128,"Nov 24, 2021",3097.00,"3,041.10","3,169.40","2,955.90",,1.84%,2.64K
129,"Nov 23, 2021",3040.90,"2,850.80","3,098.50","2,831.90",,6.62%,2.12K
130,"Nov 22, 2021",2852.10,"2,948.10","2,989.90","2,826.10",,-3.52%,1.26K
131,"Nov 21, 2021",2956.30,"3,125.20","3,143.70","2,935.20",,-5.45%,1.61K
132,"Nov 20, 2021",3126.80,"2,949.10","3,129.70","2,934.70",,6.05%,1.68K
133,"Nov 19, 2021",2948.30,"2,805.10","3,001.70","2,774.40",,5.17%,1.62K
134,"Nov 18, 2021",2803.40,"2,803.80","3,276.30","2,744.80",,-0.09%,7.81K
135,"Nov 17, 2021",2806.00,"2,810.60","2,829.00","2,667.50",,-0.16%,2.03K
136,"Nov 16, 2021",2810.60,"3,021.80","3,022.20","2,711.00",,-6.94%,2.37K
137,"Nov 15, 2021",3020.30,"3,050.80","3,159.10","2,972.20",,-1.01%,2.06K
138,"Nov 14, 2021",3051.20,"3,118.30","3,191.20","2,931.40",,-2.21%,1.81K
139,"Nov 13, 2021",3120.30,"2,879.50","3,188.70","2,877.70",,8.39%,4.46K
140,"Nov 12, 2021",2878.90,"2,989.00","3,010.60","2,791.70",,-3.73%,2.00K
141,"Nov 11, 2021",2990.30,"2,958.70","3,077.60","2,907.20",,0.91%,2.23K
142,"Nov 10, 2021",2963.20,"3,134.40","3,212.60","2,803.30",,-5.45%,3.06K
143,"Nov 09, 2021",3134.10,"3,300.90","3,301.50","3,097.10",,-5.13%,2.65K
144,"Nov 08, 2021",3303.60,"2,972.80","3,442.40","2,954.90",,11.17%,7.06K
145,"Nov 07, 2021",2971.60,"3,025.70","3,060.50","2,911.70",,-1.61%,2.44K
146,"Nov 06, 2021",3020.30,"2,947.70","3,094.30","2,804.60",,2.45%,3.75K
147,"Nov 05, 2021",2948.10,"3,013.20","3,025.90","2,858.10",,-2.26%,3.29K
148,"Nov 04, 2021",3016.30,"3,215.70","3,241.60","2,885.90",,-6.20%,6.83K
149,"Nov 03, 2021",3215.70,"2,799.70","3,624.10","2,797.60",,14.86%,31.75K
150,"Nov 02, 2021",2799.70,"2,452.80","2,893.50","2,431.70",,14.14%,9.29K
