,Date,Price,Open,High,Low,Vol.,Change %,Vol
0,"Apr 02, 2022",4.6330,4.5010,4.6730,4.4810,,2.84%,11.15M
1,"Apr 01, 2022",4.5050,4.4110,4.7600,4.1630,,2.32%,12.60M
2,"Mar 31, 2022",4.4030,4.4770,5.0100,4.3410,,-1.37%,20.85M
3,"Mar 30, 2022",4.4640,4.2030,4.4960,4.0220,,5.78%,11.94M
4,"Mar 29, 2022",4.2200,3.8060,4.2600,3.8010,,10.85%,12.18M
5,"Mar 28, 2022",3.8070,3.9860,4.1550,3.7450,,-4.61%,14.49M
6,"Mar 27, 2022",3.9910,3.6300,3.9980,3.5390,,9.91%,9.94M
7,"Mar 26, 2022",3.6310,3.6100,3.6970,3.5340,,0.47%,3.42M
8,"Mar 25, 2022",3.6140,3.6650,3.7930,3.5170,,-1.28%,9.78M
9,"Mar 24, 2022",3.6610,3.6910,3.7120,3.5510,,-0.54%,5.93M
10,"Mar 23, 2022",3.6810,3.4510,3.6930,3.4330,,6.63%,6.57M
11,"Mar 22, 2022",3.4520,3.3010,3.5610,3.2870,,4.45%,5.39M
12,"Mar 21, 2022",3.3050,3.2380,3.3960,3.1700,,2.10%,5.03M
13,"Mar 20, 2022",3.2370,3.3510,3.5000,3.1620,,-3.46%,6.84M
14,"Mar 19, 2022",3.3530,3.3030,3.4340,3.2710,,1.48%,5.28M
15,"Mar 18, 2022",3.3040,3.1650,3.3510,3.0730,,4.39%,20.48M
16,"Mar 17, 2022",3.1650,3.1130,3.2510,3.0950,,1.74%,18.47M
17,"Mar 16, 2022",3.1110,2.9200,3.1630,2.8870,,6.54%,17.79M
18,"Mar 15, 2022",2.9200,2.8910,2.9470,2.7680,,0.97%,7.92M
19,"Mar 14, 2022",2.8920,2.7850,2.8980,2.7620,,3.80%,8.75M
20,"Mar 13, 2022",2.7860,2.9050,2.9610,2.7590,,-4.20%,8.29M
21,"Mar 12, 2022",2.9080,2.8950,2.9850,2.8930,,0.41%,7.18M
22,"Mar 11, 2022",2.8960,2.9820,3.0050,2.8590,,-2.95%,11.07M
23,"Mar 10, 2022",2.9840,3.1820,3.1870,2.8770,,-6.52%,15.57M
24,"Mar 09, 2022",3.1920,2.8960,3.2290,2.8960,,10.11%,17.98M
25,"Mar 08, 2022",2.8990,2.8800,3.0850,2.8240,,0.55%,21.46M
26,"Mar 07, 2022",2.8830,2.8980,3.0230,2.7770,,-0.72%,16.10M
27,"Mar 06, 2022",2.9040,3.0970,3.1370,2.8930,,-6.35%,14.65M
28,"Mar 05, 2022",3.1010,3.0400,3.1360,2.9560,,1.94%,10.46M
29,"Mar 04, 2022",3.0420,3.3080,3.3160,3.0010,,-8.12%,14.42M
30,"Mar 03, 2022",3.3110,3.4010,3.4280,3.2310,,-2.79%,4.16M
31,"Mar 02, 2022",3.4060,3.4750,3.6220,3.3690,,-1.87%,7.79M
32,"Mar 01, 2022",3.4710,3.5340,3.6140,3.4070,,-1.75%,6.74M
33,"Feb 28, 2022",3.5330,3.1220,3.5330,3.0890,,13.16%,5.99M
34,"Feb 27, 2022",3.1220,3.2510,3.4390,3.0670,,-3.88%,7.64M
35,"Feb 26, 2022",3.2480,3.3030,3.4250,3.2120,,-1.58%,4.28M
36,"Feb 25, 2022",3.3000,3.1490,3.3490,3.0860,,5.10%,4.97M
37,"Feb 24, 2022",3.1400,3.2730,3.2960,2.7600,,-4.12%,11.01M
38,"Feb 23, 2022",3.2750,3.4000,3.5540,3.2750,,-3.42%,3.67M
39,"Feb 22, 2022",3.3910,3.2740,3.4050,3.1440,,3.83%,5.18M
40,"Feb 21, 2022",3.2660,3.6390,3.7960,3.2570,,-10.13%,6.61M
41,"Feb 20, 2022",3.6340,3.8660,3.8680,3.5590,,-6.00%,4.06M
42,"Feb 19, 2022",3.8660,3.8850,3.9530,3.7540,,-0.80%,2.49M
43,"Feb 18, 2022",3.8970,3.9460,4.0940,3.8270,,-1.32%,3.53M
44,"Feb 17, 2022",3.9490,4.2980,4.3320,3.8930,,-8.08%,4.40M
45,"Feb 16, 2022",4.2960,4.4270,4.4270,4.1870,,-3.00%,3.47M
46,"Feb 15, 2022",4.4290,4.0630,4.4400,4.0630,,8.93%,3.44M
47,"Feb 14, 2022",4.0660,4.0310,4.1210,3.9390,,0.82%,2.89M
