,Date,Price,Open,High,Low,Vol.,Change %,Vol
0,"Apr 02, 2022",11.8800,11.5500,11.9500,11.5200,,2.59%,4.03M
1,"Apr 01, 2022",11.5800,11.3100,12.0700,10.8900,,2.57%,3.37M
2,"Mar 31, 2022",11.2900,11.7200,12.4800,11.0600,,-3.50%,4.41M
3,"Mar 30, 2022",11.7000,11.2200,11.8500,10.8300,,4.00%,3.25M
4,"Mar 29, 2022",11.2500,10.9100,11.7100,10.9100,,3.21%,2.92M
5,"Mar 28, 2022",10.9000,11.4100,11.5600,10.8100,,-4.47%,3.16M
6,"Mar 27, 2022",11.4100,10.6200,11.4200,10.4600,,7.34%,2.26M
7,"Mar 26, 2022",10.6300,10.5800,10.7500,10.3800,,0.47%,1.14M
8,"Mar 25, 2022",10.5800,10.7900,11.1300,10.4600,,-1.95%,2.83M
9,"Mar 24, 2022",10.7900,10.0000,10.8000,9.9700,,7.90%,3.09M
10,"Mar 23, 2022",10.0000,9.7500,10.2500,9.6600,,2.56%,2.08M
11,"Mar 22, 2022",9.7500,9.3300,10.1600,9.2700,,4.39%,2.66M
12,"Mar 21, 2022",9.3400,9.3300,9.6100,9.1700,,0.21%,2.12M
13,"Mar 20, 2022",9.3200,9.7200,9.7800,9.1400,,-4.31%,1.85M
14,"Mar 19, 2022",9.7400,9.6300,9.9600,9.5800,,1.14%,3.25M
15,"Mar 18, 2022",9.6300,9.2200,9.7500,9.0100,,4.56%,18.81M
16,"Mar 17, 2022",9.2100,9.1000,9.4000,9.0200,,1.21%,15.30M
17,"Mar 16, 2022",9.1000,8.7300,9.2100,8.5700,,4.48%,23.05M
18,"Mar 15, 2022",8.7100,8.4900,8.7900,8.1400,,2.59%,13.10M
19,"Mar 14, 2022",8.4900,8.1900,8.5700,8.1100,,3.41%,15.87M
20,"Mar 13, 2022",8.2100,8.4600,8.7500,8.1300,,-2.96%,11.41M
21,"Mar 12, 2022",8.4600,8.4900,8.8700,8.4600,,-0.59%,11.55M
22,"Mar 11, 2022",8.5100,8.6700,9.0400,8.3700,,-1.96%,19.84M
23,"Mar 10, 2022",8.6800,9.2200,9.2900,8.5200,,-5.75%,18.27M
24,"Mar 09, 2022",9.2100,8.8000,9.4500,8.7500,,4.42%,24.30M
25,"Mar 08, 2022",8.8200,8.3000,8.8700,8.2500,,6.01%,19.55M
26,"Mar 07, 2022",8.3200,8.4600,8.7900,8.1200,,-1.89%,20.74M
27,"Mar 06, 2022",8.4800,9.0000,9.0700,8.4500,,-5.99%,15.88M
28,"Mar 05, 2022",9.0200,8.8000,9.1400,8.6800,,2.62%,11.54M
29,"Mar 04, 2022",8.7900,9.5600,9.5700,8.6700,,-7.96%,19.20M
30,"Mar 03, 2022",9.5500,10.0200,10.1200,9.4300,,-4.88%,1.79M
31,"Mar 02, 2022",10.0400,10.3500,10.5700,9.9600,,-3.00%,2.73M
32,"Mar 01, 2022",10.3500,10.5400,10.8100,10.0600,,-1.80%,3.68M
33,"Feb 28, 2022",10.5400,9.7700,10.5400,9.3700,,7.99%,4.57M
34,"Feb 27, 2022",9.7600,9.0600,10.1400,8.6600,,7.96%,5.23M
35,"Feb 26, 2022",9.0400,9.2500,9.5500,8.9600,,-2.16%,1.44M
36,"Feb 25, 2022",9.2400,8.8400,9.4300,8.4600,,4.88%,1.95M
37,"Feb 24, 2022",8.8100,8.7200,8.9900,7.5100,,1.03%,5.80M
38,"Feb 23, 2022",8.7200,8.8700,9.4200,8.7200,,-1.58%,1.87M
39,"Feb 22, 2022",8.8600,8.5300,8.9500,8.1700,,4.11%,2.36M
40,"Feb 21, 2022",8.5100,9.3500,9.7500,8.5100,,-8.89%,2.52M
41,"Feb 20, 2022",9.3400,10.0300,10.0400,9.2000,,-6.79%,1.50M
42,"Feb 19, 2022",10.0200,10.1500,10.4200,9.7800,,-1.38%,1.06M
43,"Feb 18, 2022",10.1600,10.3900,10.7000,10.0500,,-2.40%,1.37M
44,"Feb 17, 2022",10.4100,11.2200,11.3800,10.2400,,-7.14%,1.49M
45,"Feb 16, 2022",11.2100,11.4800,11.5300,10.7900,,-2.27%,1.49M
46,"Feb 15, 2022",11.4700,10.6000,11.5200,10.6000,,8.11%,1.42M
47,"Feb 14, 2022",10.6100,10.3400,10.7000,10.1200,,2.61%,860.68K
48,"Feb 13, 2022",10.3400,10.6300,10.8300,10.2600,,-2.91%,759.02K
49,"Feb 12, 2022",10.6500,10.6400,10.9600,10.4200,,-0.09%,1.01M
50,"Feb 11, 2022",10.6600,11.4000,11.6600,10.4000,,-6.57%,1.31M
51,"Feb 10, 2022",11.4100,12.3300,12.3500,11.3700,,-7.39%,2.44M
52,"Feb 09, 2022",12.3200,11.9400,12.6400,11.6300,,3.27%,1.73M
53,"Feb 08, 2022",11.9300,12.3800,12.9000,11.5100,,-3.32%,3.07M
54,"Feb 07, 2022",12.3400,11.6900,12.5800,11.3900,,5.65%,3.43M
55,"Feb 06, 2022",11.6800,11.2600,11.7100,11.0500,,3.82%,1.41M
56,"Feb 05, 2022",11.2500,11.1800,11.9500,11.1200,,0.54%,2.27M
57,"Feb 04, 2022",11.1900,10.4000,11.1900,10.3300,,7.70%,2.24M
58,"Feb 03, 2022",10.3900,10.4800,10.5800,9.9800,,-1.24%,1.35M
59,"Feb 02, 2022",10.5200,11.1200,11.3600,10.4000,,-5.23%,1.66M
60,"Feb 01, 2022",11.1000,11.7600,11.8700,11.0600,,-5.69%,1.72M
61,"Jan 31, 2022",11.7700,10.7800,11.8800,10.3200,,8.98%,1.67M
62,"Jan 30, 2022",10.8000,11.1500,11.4400,10.6500,,-2.96%,1.06M
63,"Jan 29, 2022",11.1300,10.6700,11.2400,10.5800,,4.21%,1.36M
64,"Jan 28, 2022",10.6800,10.3300,10.7300,9.8700,,3.69%,1.33M
65,"Jan 27, 2022",10.3000,10.5700,10.9100,9.9100,,-2.46%,2.55M
66,"Jan 26, 2022",10.5600,10.5800,11.7500,10.3600,,-0.28%,2.02M
67,"Jan 25, 2022",10.5900,10.6900,10.9200,10.3400,,-0.75%,1.48M
68,"Jan 24, 2022",10.6700,11.4300,11.4300,9.5400,,-6.57%,3.98M
69,"Jan 23, 2022",11.4200,11.1500,11.9100,10.8300,,2.42%,2.36M
70,"Jan 22, 2022",11.1500,12.6300,12.9800,10.4200,,-12.00%,4.56M
