,Date,Price,Open,High,Low,Vol.,Change %,Vol
0,"Dec 31, 2021",254.01,262.92,274.31,249.65,,-3.38%,243.96K
1,"Dec 30, 2021",262.88,236.27,265.69,231.10,,11.27%,227.76K
2,"Dec 29, 2021",236.27,252.30,258.94,235.12,,-6.36%,278.84K
3,"Dec 28, 2021",252.30,277.16,296.40,252.30,,-8.97%,484.10K
4,"Dec 27, 2021",277.16,267.84,293.10,265.71,,3.38%,261.66K
5,"Dec 26, 2021",268.09,263.71,277.33,250.20,,1.57%,211.06K
6,"Dec 25, 2021",263.96,270.35,278.80,257.51,,-2.24%,241.50K
7,"Dec 24, 2021",270.00,246.89,278.42,243.28,,9.21%,431.52K
8,"Dec 23, 2021",247.23,206.48,248.18,203.99,,19.73%,523.24K
9,"Dec 22, 2021",206.48,186.00,216.01,185.80,,11.01%,342.59K
10,"Dec 21, 2021",186.00,180.73,186.60,178.90,,2.95%,98.46K
11,"Dec 20, 2021",180.68,183.31,186.11,167.41,,-1.44%,124.54K
12,"Dec 19, 2021",183.31,193.11,193.20,182.50,,-5.16%,107.44K
13,"Dec 18, 2021",193.28,186.79,201.49,183.29,,3.51%,452.18K
14,"Dec 17, 2021",186.72,174.18,188.59,162.00,,7.20%,169.82K
15,"Dec 16, 2021",174.18,173.20,180.99,172.21,,0.57%,94.61K
16,"Dec 15, 2021",173.20,169.50,175.70,159.18,,2.18%,138.08K
17,"Dec 14, 2021",169.50,162.30,170.22,158.61,,4.45%,98.48K
18,"Dec 13, 2021",162.28,179.90,180.79,157.60,,-9.80%,104.24K
19,"Dec 12, 2021",179.90,181.07,182.11,175.70,,-0.35%,60.03K
20,"Dec 11, 2021",180.53,166.96,181.00,163.19,,8.12%,87.14K
21,"Dec 10, 2021",166.96,176.76,181.19,166.62,,-5.74%,149.32K
22,"Dec 09, 2021",177.13,202.90,203.70,176.50,,-12.70%,149.67K
23,"Dec 08, 2021",202.90,186.90,202.90,179.79,,8.56%,180.80K
24,"Dec 07, 2021",186.90,185.10,197.09,180.60,,0.97%,175.86K
25,"Dec 06, 2021",185.10,191.59,191.79,168.49,,-3.39%,315.31K
26,"Dec 05, 2021",191.59,203.17,205.72,186.91,,-5.71%,118.01K
27,"Dec 04, 2021",203.19,225.98,226.00,160.43,,-10.08%,434.40K
28,"Dec 03, 2021",225.98,244.80,246.01,218.01,,-7.69%,106.92K
29,"Dec 02, 2021",244.80,250.70,250.71,240.71,,-2.36%,81.11K
30,"Dec 01, 2021",250.70,256.48,268.80,249.19,,-2.26%,121.71K
31,"Nov 30, 2021",256.50,249.79,263.81,244.59,,2.68%,166.86K
32,"Nov 29, 2021",249.79,238.90,250.97,233.49,,4.56%,87.05K
33,"Nov 28, 2021",238.90,232.73,238.90,218.79,,2.65%,82.65K
34,"Nov 27, 2021",232.73,232.01,243.18,230.28,,0.31%,71.64K
35,"Nov 26, 2021",232.01,263.07,263.70,226.08,,-11.65%,206.28K
36,"Nov 25, 2021",262.61,254.49,263.89,252.20,,3.19%,132.35K
37,"Nov 24, 2021",254.50,269.91,272.01,251.30,,-5.71%,118.90K
38,"Nov 23, 2021",269.91,263.78,277.41,261.49,,2.32%,192.92K
39,"Nov 22, 2021",263.78,266.61,268.78,256.40,,-1.27%,121.66K
40,"Nov 21, 2021",267.18,274.10,274.31,264.20,,-2.52%,103.43K
41,"Nov 20, 2021",274.09,279.19,280.89,267.41,,-1.82%,108.39K
42,"Nov 19, 2021",279.19,262.51,280.41,257.89,,6.35%,110.47K
43,"Nov 18, 2021",262.51,284.59,287.70,255.88,,-7.76%,138.82K
44,"Nov 17, 2021",284.60,278.21,287.30,267.91,,2.26%,139.96K
45,"Nov 16, 2021",278.30,301.69,301.69,264.12,,-7.75%,240.62K
46,"Nov 15, 2021",301.69,315.11,317.19,299.40,,-4.26%,125.97K
47,"Nov 14, 2021",315.11,312.50,317.49,309.80,,0.83%,90.38K
48,"Nov 13, 2021",312.50,308.38,314.49,303.12,,1.34%,85.27K
49,"Nov 12, 2021",308.38,312.11,313.72,296.50,,-1.19%,125.25K
50,"Nov 11, 2021",312.11,312.79,319.20,307.20,,-0.22%,105.35K
51,"Nov 10, 2021",312.80,336.50,345.61,296.74,,-7.04%,274.97K
52,"Nov 09, 2021",336.47,331.81,349.22,326.54,,1.41%,274.71K
53,"Nov 08, 2021",331.81,319.61,334.91,318.51,,3.82%,129.79K
54,"Nov 07, 2021",319.61,318.19,323.70,316.61,,0.45%,69.92K
55,"Nov 06, 2021",318.19,326.13,327.30,307.49,,-2.57%,122.07K
56,"Nov 05, 2021",326.60,333.21,346.27,324.32,,-1.98%,185.47K
57,"Nov 04, 2021",333.21,325.04,335.60,313.20,,2.74%,179.63K
58,"Nov 03, 2021",324.31,324.77,325.40,311.12,,0.02%,163.57K
59,"Nov 02, 2021",324.23,324.03,328.10,317.78,,0.06%,94.45K
60,"Nov 01, 2021",324.03,313.99,324.29,302.68,,3.19%,139.46K
61,"Oct 31, 2021",314.02,318.19,322.82,302.78,,-1.28%,126.14K
62,"Oct 30, 2021",318.10,327.71,328.50,312.71,,-2.93%,153.21K
63,"Oct 29, 2021",327.71,339.04,347.59,324.82,,-3.15%,219.43K
64,"Oct 28, 2021",338.38,324.49,349.20,317.68,,4.28%,385.53K
65,"Oct 27, 2021",324.51,329.17,459.98,323.32,,-1.42%,1.46M
66,"Oct 26, 2021",329.17,313.12,345.38,312.30,,5.12%,226.55K
67,"Oct 25, 2021",313.12,307.52,316.51,306.54,,1.76%,73.24K
68,"Oct 24, 2021",307.70,324.09,325.20,300.09,,-5.06%,84.76K
69,"Oct 23, 2021",324.09,310.17,324.09,307.60,,4.46%,62.90K
70,"Oct 22, 2021",310.26,314.95,326.61,306.51,,-1.49%,91.95K
71,"Oct 21, 2021",314.95,316.50,337.80,311.07,,-0.48%,163.02K
72,"Oct 20, 2021",316.48,303.59,317.57,296.52,,4.24%,95.13K
73,"Oct 19, 2021",303.60,294.21,304.20,292.68,,3.19%,72.98K
74,"Oct 18, 2021",294.21,304.40,308.19,290.07,,-3.35%,73.12K
75,"Oct 17, 2021",304.40,304.50,320.75,292.65,,-0.03%,108.01K
76,"Oct 16, 2021",304.50,301.31,316.30,299.60,,1.06%,102.90K
77,"Oct 15, 2021",301.31,303.67,304.91,292.34,,-0.78%,98.99K
78,"Oct 14, 2021",303.67,297.39,310.87,293.50,,2.05%,137.66K
79,"Oct 13, 2021",297.57,283.98,301.50,282.18,,4.78%,141.06K
80,"Oct 12, 2021",283.99,290.60,290.60,271.00,,-2.27%,108.46K
81,"Oct 11, 2021",290.60,288.07,301.72,283.59,,0.87%,70.38K
82,"Oct 10, 2021",288.09,306.91,307.69,287.36,,-6.13%,62.12K
83,"Oct 09, 2021",306.91,307.31,313.02,304.31,,-0.13%,51.39K
84,"Oct 08, 2021",307.31,305.70,323.53,303.39,,0.53%,117.29K
85,"Oct 07, 2021",305.68,311.79,313.68,299.30,,-1.96%,105.16K
86,"Oct 06, 2021",311.79,307.78,317.09,285.27,,1.30%,173.74K
87,"Oct 05, 2021",307.78,300.75,309.80,296.40,,2.28%,110.96K
88,"Oct 04, 2021",300.93,310.50,310.87,291.78,,-3.08%,136.13K
89,"Oct 03, 2021",310.50,313.75,323.23,308.50,,-1.23%,121.17K
90,"Oct 02, 2021",314.36,302.57,323.46,297.03,,3.90%,151.65K
91,"Oct 01, 2021",302.57,276.49,303.49,272.26,,9.43%,156.91K
92,"Sep 30, 2021",276.49,265.20,281.15,263.75,,4.26%,88.04K
93,"Sep 29, 2021",265.20,260.82,277.39,259.37,,1.68%,106.00K
94,"Sep 28, 2021",260.82,273.13,277.52,260.02,,-4.51%,128.91K
95,"Sep 27, 2021",273.13,293.83,308.13,273.10,,-7.04%,144.74K
96,"Sep 26, 2021",293.83,274.39,300.22,252.38,,7.08%,232.78K
97,"Sep 25, 2021",274.39,280.79,283.91,268.27,,-2.27%,101.05K
98,"Sep 24, 2021",280.77,308.91,311.04,262.82,,-9.09%,209.92K
99,"Sep 23, 2021",308.82,301.79,309.21,294.52,,2.33%,116.64K
100,"Sep 22, 2021",301.79,270.56,303.04,266.19,,11.54%,187.85K
101,"Sep 21, 2021",270.56,291.10,306.77,260.67,,-7.03%,200.11K
102,"Sep 20, 2021",291.01,340.09,340.61,287.81,,-14.43%,244.18K
103,"Sep 19, 2021",340.09,355.20,357.82,335.59,,-4.30%,99.17K
104,"Sep 18, 2021",355.38,354.01,368.78,347.01,,0.40%,113.12K
105,"Sep 17, 2021",353.98,384.04,389.40,350.22,,-7.83%,174.40K
106,"Sep 16, 2021",384.04,414.91,414.91,371.01,,-7.75%,260.26K
107,"Sep 15, 2021",416.32,383.67,416.36,376.61,,8.51%,299.13K
108,"Sep 14, 2021",383.67,330.91,389.69,327.99,,15.97%,320.00K
109,"Sep 13, 2021",330.83,333.48,337.29,303.69,,-0.79%,154.16K
110,"Sep 12, 2021",333.48,328.44,348.28,322.20,,1.53%,122.01K
111,"Sep 11, 2021",328.44,312.10,340.01,310.91,,5.23%,109.64K
112,"Sep 10, 2021",312.10,330.04,340.11,304.92,,-5.43%,168.34K
113,"Sep 09, 2021",330.02,330.01,350.32,326.29,,0.01%,162.78K
114,"Sep 08, 2021",329.98,344.75,353.11,312.71,,-4.25%,258.47K
115,"Sep 07, 2021",344.63,408.69,409.29,310.60,,-15.66%,350.22K
116,"Sep 06, 2021",408.60,416.80,424.90,395.89,,-1.96%,151.24K
117,"Sep 05, 2021",416.79,397.80,425.20,395.08,,4.77%,186.52K
118,"Sep 04, 2021",397.80,394.90,406.60,390.70,,0.73%,93.60K
119,"Sep 03, 2021",394.90,399.61,407.89,388.40,,-1.18%,133.59K
120,"Sep 02, 2021",399.61,413.19,414.99,399.00,,-3.29%,108.25K
121,"Sep 01, 2021",413.19,392.07,413.89,382.19,,5.38%,243.69K
122,"Aug 31, 2021",392.08,357.70,396.30,350.70,,9.61%,229.46K
123,"Aug 30, 2021",357.69,364.09,376.89,347.04,,-1.77%,121.93K
124,"Aug 29, 2021",364.12,367.09,377.32,355.88,,-0.81%,88.77K
125,"Aug 28, 2021",367.09,372.61,375.58,362.20,,-1.48%,68.58K
126,"Aug 27, 2021",372.61,350.15,375.21,344.21,,6.42%,120.77K
127,"Aug 26, 2021",350.12,384.21,389.10,344.18,,-8.87%,121.57K
128,"Aug 25, 2021",384.21,378.16,385.94,363.89,,1.60%,108.41K
129,"Aug 24, 2021",378.16,408.33,413.91,370.52,,-7.39%,126.24K
130,"Aug 23, 2021",408.31,400.96,415.14,399.45,,1.84%,139.75K
131,"Aug 22, 2021",400.96,399.84,408.44,386.63,,0.28%,88.07K
132,"Aug 21, 2021",399.84,409.19,415.39,393.43,,-2.28%,145.06K
133,"Aug 20, 2021",409.19,405.27,420.72,403.54,,0.99%,155.02K
134,"Aug 19, 2021",405.18,380.45,405.18,371.25,,6.49%,161.19K
135,"Aug 18, 2021",380.47,381.24,397.45,361.82,,-0.20%,233.09K
136,"Aug 17, 2021",381.24,412.94,448.28,380.82,,-7.68%,286.39K
137,"Aug 16, 2021",412.95,410.27,446.61,408.97,,0.65%,283.25K
138,"Aug 15, 2021",410.28,414.50,415.95,391.46,,-1.02%,134.51K
139,"Aug 14, 2021",414.50,427.50,427.88,404.48,,-3.04%,112.54K
140,"Aug 13, 2021",427.50,392.05,428.00,388.28,,9.04%,156.78K
141,"Aug 12, 2021",392.05,402.88,417.83,376.23,,-2.69%,151.92K
142,"Aug 11, 2021",402.88,384.13,419.78,382.84,,4.86%,214.25K
143,"Aug 10, 2021",384.22,374.34,399.90,368.24,,2.64%,175.51K
144,"Aug 09, 2021",374.34,360.73,384.60,347.48,,3.77%,148.79K
145,"Aug 08, 2021",360.73,385.07,389.19,352.15,,-6.34%,129.77K
146,"Aug 07, 2021",385.16,369.60,398.97,365.37,,4.31%,214.46K
147,"Aug 06, 2021",369.25,372.78,378.56,358.38,,-0.95%,184.32K
148,"Aug 05, 2021",372.78,339.01,381.92,337.26,,9.96%,405.92K
149,"Aug 04, 2021",339.01,308.73,342.75,300.64,,9.97%,174.06K
150,"Aug 03, 2021",308.28,320.54,323.98,302.35,,-3.83%,121.53K
151,"Aug 02, 2021",320.55,316.45,328.81,309.63,,1.28%,121.23K
152,"Aug 01, 2021",316.49,331.12,339.56,314.68,,-4.33%,163.78K
153,"Jul 31, 2021",330.81,320.47,332.82,313.59,,3.23%,136.27K
154,"Jul 30, 2021",320.47,311.99,323.68,300.37,,2.88%,187.14K
155,"Jul 29, 2021",311.50,297.72,315.55,293.12,,4.63%,172.60K
156,"Jul 28, 2021",297.72,300.18,308.61,292.69,,-0.82%,199.09K
157,"Jul 27, 2021",300.19,302.53,312.25,284.90,,-0.85%,339.84K
158,"Jul 26, 2021",302.76,287.96,335.33,285.94,,5.14%,482.00K
159,"Jul 25, 2021",287.96,285.05,289.41,272.28,,-1.08%,148.80K
160,"Jul 24, 2021",291.11,289.76,298.98,286.39,,0.47%,205.18K
161,"Jul 23, 2021",289.76,278.42,292.53,268.91,,4.07%,230.79K
162,"Jul 22, 2021",278.42,259.07,280.28,256.81,,7.48%,238.67K
163,"Jul 21, 2021",259.05,223.25,262.54,217.42,,16.03%,265.10K
164,"Jul 20, 2021",223.25,238.24,242.12,212.94,,-6.28%,205.38K
165,"Jul 19, 2021",238.22,253.69,255.48,233.31,,-6.27%,160.44K
166,"Jul 18, 2021",254.14,252.69,267.64,250.94,,0.58%,115.84K
167,"Jul 17, 2021",252.69,253.14,258.01,246.67,,-0.39%,144.45K
168,"Jul 16, 2021",253.67,271.85,279.58,252.80,,-6.68%,171.59K
169,"Jul 15, 2021",271.85,279.42,287.74,265.68,,-2.71%,264.21K
170,"Jul 14, 2021",279.42,271.19,285.26,252.58,,3.03%,321.45K
171,"Jul 13, 2021",271.19,297.10,297.51,267.79,,-8.72%,208.84K
172,"Jul 12, 2021",297.10,304.49,321.70,291.59,,-2.43%,263.42K
173,"Jul 11, 2021",304.49,294.58,310.02,287.06,,3.36%,183.16K
174,"Jul 10, 2021",294.58,303.23,311.52,288.58,,-2.85%,193.42K
175,"Jul 09, 2021",303.23,293.12,314.31,277.15,,3.45%,438.40K
176,"Jul 08, 2021",293.12,314.94,315.29,276.52,,-6.93%,569.46K
177,"Jul 07, 2021",314.94,316.34,331.33,310.64,,-0.57%,323.26K
178,"Jul 06, 2021",316.74,307.92,346.72,307.91,,2.63%,727.32K
179,"Jul 05, 2021",308.63,277.09,317.27,262.30,,11.38%,629.44K
180,"Jul 04, 2021",277.09,261.15,288.93,261.10,,6.11%,306.73K
181,"Jul 03, 2021",261.15,234.23,265.42,228.28,,11.49%,287.84K
182,"Jul 02, 2021",234.23,230.82,234.56,215.90,,1.48%,197.94K
183,"Jul 01, 2021",230.82,250.72,251.99,227.77,,-7.87%,253.28K
184,"Jun 30, 2021",250.53,236.61,252.36,220.09,,5.88%,16.96K
185,"Jun 29, 2021",236.61,226.52,252.84,226.43,,4.45%,18.34K
186,"Jun 28, 2021",226.52,203.04,232.82,200.55,,11.56%,15.15K
187,"Jun 27, 2021",203.04,186.96,203.04,183.30,,8.60%,16.45K
188,"Jun 26, 2021",186.96,187.10,193.33,176.46,,-0.07%,15.19K
189,"Jun 25, 2021",187.10,211.30,214.73,185.11,,-11.45%,19.07K
190,"Jun 24, 2021",211.30,207.88,217.83,193.19,,1.65%,18.89K
191,"Jun 23, 2021",207.88,205.90,229.31,197.42,,0.96%,33.82K
192,"Jun 22, 2021",205.90,212.27,222.72,170.40,,-3.53%,60.49K
193,"Jun 21, 2021",213.44,272.80,275.43,206.36,,-21.77%,37.71K
194,"Jun 20, 2021",272.85,254.75,277.06,242.28,,7.11%,17.48K
195,"Jun 19, 2021",254.75,265.03,269.76,254.67,,-3.62%,9.90K
196,"Jun 18, 2021",264.31,293.31,293.60,253.13,,-9.85%,14.70K
197,"Jun 17, 2021",293.18,290.41,305.22,285.36,,0.95%,9.50K
198,"Jun 16, 2021",290.41,311.91,313.71,287.37,,-7.07%,10.89K
199,"Jun 15, 2021",312.49,318.16,327.18,307.87,,-1.78%,11.80K
200,"Jun 14, 2021",318.16,316.37,335.18,309.06,,0.57%,20.61K
201,"Jun 13, 2021",316.37,278.24,317.94,266.71,,13.70%,15.81K
202,"Jun 12, 2021",278.24,285.20,289.27,266.20,,-2.44%,18.26K
203,"Jun 11, 2021",285.20,310.08,314.90,280.66,,-8.02%,16.14K
204,"Jun 10, 2021",310.08,338.47,339.56,304.78,,-8.39%,14.24K
205,"Jun 09, 2021",338.47,330.12,342.22,306.23,,2.53%,23.45K
206,"Jun 08, 2021",330.12,334.78,338.99,297.16,,-1.43%,25.96K
207,"Jun 07, 2021",334.92,365.29,387.56,331.97,,-8.31%,21.86K
208,"Jun 06, 2021",365.29,356.64,368.31,354.65,,2.43%,9.15K
209,"Jun 05, 2021",356.64,372.98,391.40,347.69,,-4.38%,21.45K
210,"Jun 04, 2021",372.98,398.54,398.79,346.70,,-6.14%,25.46K
211,"Jun 03, 2021",397.38,384.14,408.81,376.20,,3.45%,23.98K
212,"Jun 02, 2021",384.14,372.55,401.45,362.24,,3.11%,26.33K
213,"Jun 01, 2021",372.55,383.00,391.90,361.37,,-2.73%,39.09K
214,"May 31, 2021",383.00,325.00,385.16,304.89,,17.85%,46.96K
215,"May 30, 2021",325.00,297.50,338.75,282.51,,9.24%,25.84K
216,"May 29, 2021",297.50,319.94,335.20,280.67,,-7.01%,29.67K
217,"May 28, 2021",319.94,369.85,376.20,304.52,,-13.49%,49.57K
218,"May 27, 2021",369.85,414.19,414.60,366.04,,-10.71%,41.55K
219,"May 26, 2021",414.19,370.41,414.91,358.99,,11.82%,54.93K
220,"May 25, 2021",370.41,385.15,402.35,322.46,,-3.83%,48.03K
221,"May 24, 2021",385.15,293.58,396.97,288.77,,31.19%,45.99K
222,"May 23, 2021",293.58,334.94,350.37,209.04,,-12.35%,68.46K
223,"May 22, 2021",334.94,372.91,381.25,311.00,,-10.18%,42.95K
224,"May 21, 2021",372.91,468.43,493.38,310.45,,-20.39%,72.36K
225,"May 20, 2021",468.43,410.61,508.20,355.40,,12.41%,63.81K
226,"May 19, 2021",416.72,629.38,648.51,349.67,,-33.79%,94.53K
227,"May 18, 2021",629.38,572.86,665.18,564.85,,9.87%,52.89K
228,"May 17, 2021",572.86,526.46,592.52,472.19,,8.81%,52.61K
229,"May 16, 2021",526.46,515.45,561.26,478.98,,2.14%,27.90K
230,"May 15, 2021",515.45,594.95,609.67,509.59,,-13.39%,34.71K
231,"May 14, 2021",595.17,508.54,631.10,506.71,,16.93%,63.38K
232,"May 13, 2021",508.98,498.40,620.25,455.51,,2.12%,100.74K
233,"May 12, 2021",498.40,457.22,595.60,456.28,,9.01%,110.73K
234,"May 11, 2021",457.22,433.50,458.34,418.85,,5.47%,22.67K
235,"May 10, 2021",433.50,459.62,481.55,401.92,,-5.68%,19.93K
236,"May 09, 2021",459.62,466.98,468.78,441.22,,-1.38%,9.43K
237,"May 08, 2021",466.03,445.32,475.52,440.78,,4.65%,8.91K
238,"May 07, 2021",445.32,452.82,467.33,432.98,,-1.66%,10.49K
239,"May 06, 2021",452.82,480.67,482.03,441.58,,-5.79%,12.69K
240,"May 05, 2021",480.67,454.82,484.95,440.05,,6.33%,16.19K
241,"May 04, 2021",452.04,518.03,519.93,452.04,,-12.74%,29.71K
242,"May 03, 2021",518.03,482.57,534.91,481.08,,7.35%,26.26K
243,"May 02, 2021",482.57,504.58,508.09,473.80,,-4.53%,18.64K
244,"May 01, 2021",505.46,444.49,512.06,436.44,,13.72%,35.46K
245,"Apr 30, 2021",444.49,438.83,454.40,429.84,,1.29%,20.34K
246,"Apr 29, 2021",438.83,460.59,462.83,424.30,,-4.73%,20.78K
247,"Apr 28, 2021",460.64,440.48,485.98,424.22,,4.58%,39.21K
248,"Apr 27, 2021",440.48,405.03,449.84,394.26,,8.75%,32.27K
249,"Apr 26, 2021",405.03,348.47,408.17,345.88,,16.23%,33.72K
250,"Apr 25, 2021",348.47,317.82,353.56,314.31,,9.64%,16.33K
251,"Apr 24, 2021",317.82,343.52,344.03,314.92,,-7.48%,11.29K
252,"Apr 23, 2021",343.52,360.05,371.87,310.63,,-4.59%,26.95K
253,"Apr 22, 2021",360.05,351.11,413.35,343.93,,2.55%,28.41K
254,"Apr 21, 2021",351.11,360.49,384.22,341.65,,-2.60%,14.44K
255,"Apr 20, 2021",360.49,344.06,371.06,314.36,,4.78%,18.78K
256,"Apr 19, 2021",344.06,381.63,397.62,341.99,,-9.84%,13.27K
257,"Apr 18, 2021",381.63,425.29,428.55,285.79,,-10.45%,32.41K
258,"Apr 17, 2021",426.17,441.30,461.57,419.86,,-3.43%,7.14K
