"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 07, 2022","2.8830","2.8980","3.0230","2.7770","16.10M","-0.72%"
"Mar 06, 2022","2.9040","3.0970","3.1370","2.8930","14.65M","-6.35%"
"Mar 05, 2022","3.1010","3.0400","3.1360","2.9560","10.46M","1.94%"
"Mar 04, 2022","3.0420","3.3080","3.3160","3.0010","14.42M","-8.12%"
"Mar 03, 2022","3.3110","3.4010","3.4280","3.2310","4.16M","-2.79%"
"Mar 02, 2022","3.4060","3.4750","3.6220","3.3690","7.79M","-1.87%"
"Mar 01, 2022","3.4710","3.5340","3.6140","3.4070","6.74M","-1.75%"
"Feb 28, 2022","3.5330","3.1220","3.5330","3.0890","5.99M","13.16%"
"Feb 27, 2022","3.1220","3.2510","3.4390","3.0670","7.64M","-3.88%"
"Feb 26, 2022","3.2480","3.3030","3.4250","3.2120","4.28M","-1.58%"
"Feb 25, 2022","3.3000","3.1490","3.3490","3.0860","4.97M","5.10%"
"Feb 24, 2022","3.1400","3.2730","3.2960","2.7600","11.01M","-4.12%"
"Feb 23, 2022","3.2750","3.4000","3.5540","3.2750","3.67M","-3.42%"
"Feb 22, 2022","3.3910","3.2740","3.4050","3.1440","5.18M","3.83%"
"Feb 21, 2022","3.2660","3.6390","3.7960","3.2570","6.61M","-10.13%"
"Feb 20, 2022","3.6340","3.8660","3.8680","3.5590","4.06M","-6.00%"
"Feb 19, 2022","3.8660","3.8850","3.9530","3.7540","2.49M","-0.80%"
"Feb 18, 2022","3.8970","3.9460","4.0940","3.8270","3.53M","-1.32%"
"Feb 17, 2022","3.9490","4.2980","4.3320","3.8930","4.40M","-8.08%"
"Feb 16, 2022","4.2960","4.4270","4.4270","4.1870","3.47M","-3.00%"
"Feb 15, 2022","4.4290","4.0630","4.4400","4.0630","3.44M","8.93%"
"Feb 14, 2022","4.0660","4.0310","4.1210","3.9390","2.89M","0.82%"
"Feb 13, 2022","4.0330","4.1510","4.2450","3.9890","2.45M","-2.89%"
"Feb 12, 2022","4.1530","4.0930","4.2720","4.0220","3.20M","1.49%"
"Feb 11, 2022","4.0920","4.4050","4.5100","4.0370","4.85M","-7.15%"
"Feb 10, 2022","4.4070","4.7550","4.8350","4.3770","6.48M","-7.34%"
"Feb 09, 2022","4.7560","4.6460","4.7850","4.5480","4.44M","2.39%"
"Feb 08, 2022","4.6450","4.9630","5.0830","4.5150","7.92M","-6.28%"
"Feb 07, 2022","4.9560","4.8040","4.9640","4.6650","7.47M","3.31%"
"Feb 06, 2022","4.7970","4.6860","4.8090","4.4780","4.39M","2.48%"
"Feb 05, 2022","4.6810","4.4620","4.8960","4.4250","7.87M","5.03%"
"Feb 04, 2022","4.4570","4.0900","4.4680","4.0360","5.61M","8.79%"
"Feb 03, 2022","4.0970","4.0820","4.1340","3.9340","3.53M","0.32%"
"Feb 02, 2022","4.0840","4.3530","4.4420","4.0500","5.99M","-6.09%"
"Feb 01, 2022","4.3490","4.2180","4.4900","4.2040","5.65M","3.03%"
"Jan 31, 2022","4.2210","4.0860","4.3110","3.8720","5.54M","3.30%"
"Jan 30, 2022","4.0860","4.1890","4.3330","4.0050","4.53M","-2.30%"
"Jan 29, 2022","4.1820","4.1560","4.3110","4.1100","5.31M","0.55%"
"Jan 28, 2022","4.1590","4.0540","4.2040","3.9330","6.31M","2.74%"
"Jan 27, 2022","4.0480","4.2530","4.2850","3.8590","8.54M","-4.75%"
"Jan 26, 2022","4.2500","4.5490","4.8070","4.1150","11.59M","-6.41%"
"Jan 25, 2022","4.5410","4.3960","4.6520","4.2640","5.59M","3.09%"
"Jan 24, 2022","4.4050","4.6510","4.6510","3.8070","9.82M","-5.25%"
"Jan 23, 2022","4.6490","4.4120","4.7800","4.3120","7.88M","5.37%"
"Jan 22, 2022","4.4120","4.9490","5.0920","4.0290","13.48M","-10.90%"
"Jan 21, 2022","4.9520","5.8050","5.9230","4.8170","10.80M","-14.94%"
"Jan 20, 2022","5.8220","6.0540","6.5900","5.7700","6.66M","-3.64%"
"Jan 19, 2022","6.0420","6.2090","6.2430","5.9170","5.09M","-2.75%"
"Jan 18, 2022","6.2130","6.4340","6.5700","6.0150","4.07M","-3.55%"
"Jan 17, 2022","6.4420","6.9730","6.9790","6.3210","4.92M","-7.46%"
"Jan 16, 2022","6.9610","7.0200","7.0890","6.8580","3.48M","-0.93%"
"Jan 15, 2022","7.0260","7.0230","7.2230","6.9840","3.54M","0.10%"
"Jan 14, 2022","7.0190","7.0290","7.3510","6.7310","6.16M","-0.06%"
"Jan 13, 2022","7.0230","7.0950","7.5480","6.8380","9.94M","-1.21%"
"Jan 12, 2022","7.1090","6.9950","7.2790","6.9380","7.83M","1.70%"
"Jan 11, 2022","6.9900","6.5850","7.1110","6.4770","6.51M","6.33%"
"Jan 10, 2022","6.5740","6.9090","7.1990","6.2390","8.05M","-5.34%"
"Jan 09, 2022","6.9450","6.5610","7.1910","6.5300","6.50M","5.74%"
"Jan 08, 2022","6.5680","7.1810","7.2890","6.3180","7.44M","-8.31%"
"Jan 07, 2022","7.1630","7.4390","7.4660","6.4180","14.87M","-3.79%"
"Jan 06, 2022","7.4450","7.6390","7.8390","7.1210","9.11M","-2.63%"
"Jan 05, 2022","7.6460","8.0800","9.0300","7.2510","16.54M","-5.34%"
"Jan 04, 2022","8.0770","8.5160","8.7650","7.9870","14.34M","-5.11%"
"Jan 03, 2022","8.5120","8.9470","9.4450","8.4510","9.99M","-4.71%"
"Jan 02, 2022","8.9330","9.1190","9.3660","8.8400","6.58M","-2.23%"
"Jan 01, 2022","9.1370","9.4450","9.4920","9.0310","8.18M","-3.13%"
