"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 07, 2022","8.3200","8.4600","8.7900","8.1200","20.74M","-1.89%"
"Mar 06, 2022","8.4800","9.0000","9.0700","8.4500","15.88M","-5.99%"
"Mar 05, 2022","9.0200","8.8000","9.1400","8.6800","11.54M","2.62%"
"Mar 04, 2022","8.7900","9.5600","9.5700","8.6700","19.20M","-7.96%"
"Mar 03, 2022","9.5500","10.0200","10.1200","9.4300","1.79M","-4.88%"
"Mar 02, 2022","10.0400","10.3500","10.5700","9.9600","2.73M","-3.00%"
"Mar 01, 2022","10.3500","10.5400","10.8100","10.0600","3.68M","-1.80%"
"Feb 28, 2022","10.5400","9.7700","10.5400","9.3700","4.57M","7.99%"
"Feb 27, 2022","9.7600","9.0600","10.1400","8.6600","5.23M","7.96%"
"Feb 26, 2022","9.0400","9.2500","9.5500","8.9600","1.44M","-2.16%"
"Feb 25, 2022","9.2400","8.8400","9.4300","8.4600","1.95M","4.88%"
"Feb 24, 2022","8.8100","8.7200","8.9900","7.5100","5.80M","1.03%"
"Feb 23, 2022","8.7200","8.8700","9.4200","8.7200","1.87M","-1.58%"
"Feb 22, 2022","8.8600","8.5300","8.9500","8.1700","2.36M","4.11%"
"Feb 21, 2022","8.5100","9.3500","9.7500","8.5100","2.52M","-8.89%"
"Feb 20, 2022","9.3400","10.0300","10.0400","9.2000","1.50M","-6.79%"
"Feb 19, 2022","10.0200","10.1500","10.4200","9.7800","1.06M","-1.38%"
"Feb 18, 2022","10.1600","10.3900","10.7000","10.0500","1.37M","-2.40%"
"Feb 17, 2022","10.4100","11.2200","11.3800","10.2400","1.49M","-7.14%"
"Feb 16, 2022","11.2100","11.4800","11.5300","10.7900","1.49M","-2.27%"
"Feb 15, 2022","11.4700","10.6000","11.5200","10.6000","1.42M","8.11%"
"Feb 14, 2022","10.6100","10.3400","10.7000","10.1200","860.68K","2.61%"
"Feb 13, 2022","10.3400","10.6300","10.8300","10.2600","759.02K","-2.91%"
"Feb 12, 2022","10.6500","10.6400","10.9600","10.4200","1.01M","-0.09%"
"Feb 11, 2022","10.6600","11.4000","11.6600","10.4000","1.31M","-6.57%"
"Feb 10, 2022","11.4100","12.3300","12.3500","11.3700","2.44M","-7.39%"
"Feb 09, 2022","12.3200","11.9400","12.6400","11.6300","1.73M","3.27%"
"Feb 08, 2022","11.9300","12.3800","12.9000","11.5100","3.07M","-3.32%"
"Feb 07, 2022","12.3400","11.6900","12.5800","11.3900","3.43M","5.65%"
"Feb 06, 2022","11.6800","11.2600","11.7100","11.0500","1.41M","3.82%"
"Feb 05, 2022","11.2500","11.1800","11.9500","11.1200","2.27M","0.54%"
"Feb 04, 2022","11.1900","10.4000","11.1900","10.3300","2.24M","7.70%"
"Feb 03, 2022","10.3900","10.4800","10.5800","9.9800","1.35M","-1.24%"
"Feb 02, 2022","10.5200","11.1200","11.3600","10.4000","1.66M","-5.23%"
"Feb 01, 2022","11.1000","11.7600","11.8700","11.0600","1.72M","-5.69%"
"Jan 31, 2022","11.7700","10.7800","11.8800","10.3200","1.67M","8.98%"
"Jan 30, 2022","10.8000","11.1500","11.4400","10.6500","1.06M","-2.96%"
"Jan 29, 2022","11.1300","10.6700","11.2400","10.5800","1.36M","4.21%"
"Jan 28, 2022","10.6800","10.3300","10.7300","9.8700","1.33M","3.69%"
"Jan 27, 2022","10.3000","10.5700","10.9100","9.9100","2.55M","-2.46%"
"Jan 26, 2022","10.5600","10.5800","11.7500","10.3600","2.02M","-0.28%"
"Jan 25, 2022","10.5900","10.6900","10.9200","10.3400","1.48M","-0.75%"
