Date,Price,Market cap,Total volume
44348.70833,36680.0682,688726381047,33536905028
44349.70833,37685.71798,704531333543,31240691604
44350.70833,39151.31618,733150718114,33396718845
44351.70833,36938.72031,691747462828,39345490149
44352.70833,35546.98596,662913486273,34068172836
44353.70833,35834.47447,671131079524,27689283071
44354.70833,33451.38341,626527049948,33345528753
44355.70833,33557.15068,629018966290,46727462986
44356.70833,37553.64376,705292677171,54511387836
44357.70833,36903.30491,691681868464,42952476855
44358.70833,37289.43252,698528023664,36358044263
44359.70833,35666.14978,668148892256,35710196743
44360.70833,39147.70568,733402631079,38185633278
44361.70833,40624.51305,761104314502,45836408439
44362.70833,40378.20255,756522207420,36706248352
44363.70833,38321.45466,718016373177,36563438890
44364.70833,38193.61914,715652442155,36330237284
44365.70833,35881.11137,673761687974,35162612173
44366.70833,35581.64227,666901325910,28858979692
44367.70833,35787.07741,670634370557,35609127164
44368.70833,31711.93547,598335733136,51873870277
44369.70833,32507.73871,606580031923,57443014758
44370.70833,33702.61779,631634847766,39798236962
44371.70833,34675.44911,650340461976,31862051544
44372.70833,31943.13647,598703019611,38635245431
44373.70833,32023.9739,600235334321,36873109420
44374.70833,34607.29327,649262127990,34335452117
44375.70833,34556.84213,647741224117,32453802891
44376.70833,35968.99367,674231340724,35121257876
44377.70833,35171.4863,660200427590,31024153847
44378.70833,33677.56624,629863895572,29129630236
44379.70833,33950.78656,633684390026,25084046353
44380.70833,34729.89078,650382046625,22986053605
44381.70833,35394.21307,663571591568,22727930418
44382.70833,33928.13422,636061920915,25894820185
44383.70833,34149.98981,640405812762,26106856612
44384.70833,33932.25464,636246944189,23692220470
44385.70833,32933.5782,617861633772,29065577052
44386.70833,33971.29775,637000370375,24282108111
44387.70833,33704.53847,632185737683,20558304484
44388.70833,34299.93802,643335853171,17798828844
44389.70833,33262.65435,623350567667,21683885321
44390.70833,32676.3838,613002045101,19932531700
44391.70833,32878.50187,616691143980,21779069066
44392.70833,31726.03883,595342431374,21557729227
44393.70833,31399.65313,588495008676,22671859963
44394.70833,31588.67135,592581931071,17715455995
44395.70833,31919.39392,597872278369,17742105808
44396.70833,30928.21191,580252472383,20095540828
44397.70833,29971.90378,561743228117,23000299062
44398.70833,32383.78113,605357009417,29070652060
44399.70833,32409.49977,607621607805,19741588059
44400.70833,33455.55127,627747173675,22937379735
44401.70833,34213.59993,642012590041,22120323672
44402.70833,35456.12466,664681184169,20929083221
44403.70833,37281.91809,701921012035,53550491998
44404.70833,39076.59377,732311951673,36401287454
44405.70833,40031.19824,751371299911,41369107423
44406.70833,39977.75694,750407963580,28717414113
44407.70833,41936.26148,786531956384,35530501783
44408.70833,41754.1666,784039345926,28437941447
44409.70833,39914.82976,747403845432,28555173662
44410.70833,39278.76651,737440183776,28057528866
44411.70833,38368.35401,720835141114,28422901237
44412.70833,39751.58458,747085951935,27751046040
44413.70833,40825.38194,768416417394,38527930905
44414.70833,42802.13717,803853127161,40840608017
44415.70833,44647.5776,838457486988,42725276705
44416.70833,43753.21786,821704814136,39633218479
44417.70833,46311.0019,861862844506,42726733998
44418.70833,45639.51402,854344953099,35669862362
44419.70833,45652.06013,857660568377,35679832771
